_id,systemId,name,seriesIds,courseState,authorIds,betaDocLink,betaDriveFolder,thumbRelativePath,shortDescription,longDescription,mainGoal,mainSubjects,difficulty,age,tags,prerequisites,price,xp,skillsComponentsXp,createdAt,updatedAt,levelSystemId,levelTitle,levelSortDescription,levelLongDescription,stepSystemId,stepTitle,stepShortDescription,stepLongDescription,screenSystemId,screenTitle,screenType,learningTimeInSeconds,elementType,elementSystemId,elementContent
1,1,הקלידים הלבנים בפסנתר,1,beta,1,https://docs.google.com/document/d/1YUUnW1gtNTPZgYApr9n9YsPlSrmlL7vVs5wESEL7eME/edit?usp=sharing,https://drive.google.com/drive/folders/15fEphv6ptmSroAknsBLwMkQ1RftTx6n5?usp=drive_link,,היכרות ראשונה עם הפסנתר - נגינה עם הקלידים הלבנים,נלמד את מבנה הפסנתר ונכיר היטב את כל הקלידים הלבנים,להכיר ולנגן את כל הקלידים הלבנים,"שמות הצלילים בעברית, שמות הצלילים באנגלית, נגינת קלידים לבנים",1,12,"פסנתר, מתחילים",null,200,1000,null,10/8/2025,10/8/2025,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,צליל ראשון,נתחיל להכיר את הפסנתר וננגן צליל אחד,"נלמד על מבנה מקלדת הפסנתר, פדל הפסנתר, גובה צליל, קבוצות צלילים וזיהוי הצליל ״דו״",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,מבוא לפסנתר,היכרות ראשונית עם הפסנתר,"נכיר את מבנה מקלדת הפסנתר, נתחיל להכיר את הצלילים במוזיקה וגם ננגן חלק מהם",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,מבנה המקלדת,info,30,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,1,"פסנתרים חשמליים, פסנתרים אקוסטיים, קלידים, אורגנים… לכולם יש מקלדת."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,2,"המקלדת זה המשטח שעליו מנגנים, והוא מורכב מרצף של קלידים."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,3,"כל קליד מפיק צליל אחר. לחיצה על הקליד, משמיעה את הצליל הייחודי של הקליד."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,4,"בעזרת לחיצה על קלידים שונים, בזמנים שונים, אנחנו מסדרים צלילים אחד אחרי השני ויוצרים מוזיקה."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,5,צפו בסרטון ההסבר:
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,youtubeVideo,6,link: https://www.youtube.com/embed/kPWfIBGaIlU
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,פדל הפסנתר,info,30,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,1,"יש כל מיני סוגי פדלים לפסנתר, הנפוץ ביותר הוא פדל הססטיין. כשאומרים ״פדל הפסנתר״ בלי לפרט את סוגו, אז מתכוונים לפדל הססטיין. הרבה אנשים מכירים רק אותו."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,2,"בפסנתר חשמליים, כמעט תמיד יהיה לנו רק את הפדל הזה."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,3,"מה הפדל הזה עושה? כאשר דורכים עליו, כל צליל שננגן - יישאר מנוגן גם אם נעזוב את הקליד."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,4,"במצב רגיל, בלי פדל, הצלילים נשמעים כל עוד הקלידים לחוצים. ברגע שמשחררים את הקלידים, הצלילים נעלמים. עם פדל הססטיין - הם נשארים עד שהם דועכים לאט, לאט."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,5,תראו את סרטון:
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,youtubeVideo,6,link: https://youtu.be/r6sBgxKP21w
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,7,למה משתמשים בפדל?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,8,"בכל מצב שבו רוצים להשאיר צלילים מנוגנים, ותוך כדי לאפשר לנו להרים את הידיים - נשתמש בפדל."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,9,"לרוב זה בשביל לנגן אקורדים והרבה צלילים, שמחייבים אותנו להרים את הידיים בשביל לנגן."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,קבוצות צלילים,info,30,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,1,את כל הצלילים בעולם מחלקים לקבוצות של צלילים.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,2,"כל קבוצה כזו מכילה הרבה צלילים שיש ביניהם דמיון מסוים, אבל גם שוני."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,3,"לכל צליל בקבוצה נהוג לקרוא בשם של הקבוצה עצמה. זה כמו שיש משפחה, שלכל אדם במשפחה יש שם פרטי וגם שם משפחה - ונקרא לכולם בשם המשפחה שלהם."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,4,"זה יכול לבלבל, אבל במוזיקה זה די הגיוני רוב הזמן."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,5,"אז כדי לדעת את שמות הצלילים בפסנתר, צריך לדעת את השמות של קבוצות הצלילים."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,6,תראו את הסרטון:
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,youtubeVideo,7,link: https://youtu.be/Kep04Bpp2Jo
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,שמות הקבוצות,info,30,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,1,"סך הכל יש 12 קבוצות צלילים, אבל במודול הזה נכיר רק 7 קבוצות."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,2,"אולי שמעתם את השמות שלהם בעבר: דו, רה, מי, פה, סול, לה, סי."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,3,אלו הקבוצות שנלמד.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,4,"אבל לפני זה, אנחנו צריכים לדבר על מושג חשוב במוזיקה שנקרא ״גובה״."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,גובה הצלילים,info,30,,,
