oldSerialNumber,_id,name,description,exerciseType,difficulty,category,tags,notes,rhythms,chords,style,authors,instructions,driveChartsLinks,expectedDurationLowerBoundValue,expectedDurationLowerBoundUnit,expectedDurationUpperBoundValue,expectedDurationUpperBoundUnit,createdAt,updatedAt,relatedExercises,scoreType,targetAudience,diagramStyle,explanationVideo,scoreCheckType,xpScore,skillsScore,feedback,linkToDriveFolder,Lead Sheet,Scale,Scale | Notes Names,Notes Names | Roots Names
,1,תרגיל דו אמצעי,תרגיל נגינה של דו אמצעי בקצב פשוט,Piano Score Playing,1,Sight Reading,Beginner | Middle C,C4,רבע,,דואט,עירד דורון,התלמיד מנגן רק את דו אמצעי ברבעים | והמורה מנגן משהו מגניב,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1liAx9J9yyqqNBjVtzkZYc7vMqUiTbSCr?usp=drive_link,https://drive.google.com/file/d/1lS2-TsoMb44eg7EZUw74B05YNnAm-te4/view?usp=drive_link,,,
,2,תרגיל דו אמצעי,תרגיל נגינה של דו אמצעי בקצב פשוט,Piano Score Playing,1,Sight Reading,מתחילים,C4,רבע,,דואט,עירד דורון,התלמיד מנגן רק את דו אמצעי ברבעים | והמורה מנגן משהו מגניב,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1knjFh7JU1WLkj4BTyYCWmtE0yEUok4DL?usp=drive_link,https://drive.google.com/file/d/1lrvBu07mLis719YdCMHcsDbqMCFzujrI/view?usp=drive_link,,,
,3,תרגיל דו אמצעי,,Piano Score Playing,1,,מתחילים,C4,רבע,,דואט,עירד דורון,התלמיד מנגן תיבה אחת רק דו אמצעי | ואז המורה מאלתר,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/16OdtQvZFR1Rz0Q2u_MO6Ul9WC5EVLTLX?usp=drive_link,https://drive.google.com/file/d/1l_0uVKIo7aIfsP2mu0QFR5bk0AKnBYJf/view?usp=drive_link,,,
,4,תרגיל דו אמצעי,,Piano Score Playing,1,,מתחילים,C4,רבע,,דואט,עירד דורון,התלמיד מנגן תיבה אחת רק דו אמצעי | ואז המורה מאלתר,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1Vr6h5sw71n4vkgYpSh45mwiUvlBv5eoa?usp=drive_link,https://drive.google.com/file/d/1ldWhOY6qHmLUps24idhxSGWcBBbf-8Ha/view?usp=drive_link,,,
,5,תרגיל דו אמצעי,,Piano Score Playing,1,,מתחילים,C4,רבע,,דואט,עירד דורון,התלמיד מנגן רק את דו אמצעי ברבעים | והמורה מנגן משהו מגניב,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1hxATf13VqTshuXp3IwJ_jZ5FF0FJ_9sP?usp=drive_link,https://drive.google.com/file/d/1liNlOTnzrl1qG4QRwMstded6wgwuglV0/view?usp=drive_link,,,
,6,תרגיל דו אמצעי,,Piano Score Playing,1,,מתחילים,C4,רבע,,דואט,עירד דורון,התלמיד מנגן רק את דו אמצעי ברבעים | והמורה מנגן משהו מגניב,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/17g6LDFMktqtTRVkGTE0FSu40ZJr53PN_?usp=drive_link,https://drive.google.com/file/d/1liZ-3ouSYNx8JWQhSjHQ0TUMQ55CJTF_/view?usp=drive_link,,,
,7,תרגיל דו אמצעי,,Piano Score Playing,1,,מתחילים,C4,רבע | חצי,,דואט,עירד דורון,התלמיד מנגן את דו אמצעי ברבעים וחצאים | והמורה מנגן משהו מגניב ביד שמאל,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1Z4RHhhY19uokBz5BwbgT9TTds9nzCM4Q?usp=drive_link,https://drive.google.com/file/d/1lxJITuRzvQvIJKzi9WUYFu1uC7ZMLGgQ/view?usp=drive_link,,,
,8,תרגיל דו אמצעי,,Piano Score Playing,1,,מתחילים,C4,רבע | חצי,,דואט,עירד דורון,התלמיד מנגן את דו אמצעי ברבעים וחצאים | והמורה מנגן משהו מגניב ביד שמאל,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1vSkth-0ckClIxVJJbFfuUjRtseItsk9W?usp=drive_link,https://drive.google.com/file/d/1lz4qyVMvyRKVf6wh8lX1zspvgnq-qsap/view?usp=drive_link,,,
,9,תרגיל דו אמצעי,,Piano Score Playing,1,,מתחילים,C4,רבע | חצי,,דואט,עירד דורון,התלמיד מנגן את דו אמצעי ברבעים וחצאים | והמורה מנגן משהו מגניב ביד שמאל,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1irCONfLGmSc_pWgoRsLQkzPOFB61Pj0q?usp=drive_link,https://drive.google.com/file/d/1m8lxjuiElKrynmme6FahR-zp5DGx7Phg/view?usp=drive_link,,,
,10,תרגיל אוקטבה אמצעית,,Piano Score Playing,1,,מתחילים,C4 | D4,רבע | חצי,,דואט,עירד דורון,התלמיד מנגן את דו ורה אמצעיים ברבעים וחצאים | והמורה מנגן משהו מגניב ביד שמאל,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1TJwIUFHlG83EYX0y3Ur-qlUgsMv1M4av?usp=drive_link,https://drive.google.com/file/d/1mMi876tg4VXL0-DQPNKV-X7QWh4a6ITN/view?usp=drive_link,,,
